year_month,count,date,twitter_data,office_type
2017-10,29926,2017-10-01,All Accounts,House
2017-11,26155,2017-11-01,All Accounts,House
2017-12,25558,2017-12-01,All Accounts,House
2018-01,31938,2018-01-01,All Accounts,House
2018-02,28319,2018-02-01,All Accounts,House
2018-03,31876,2018-03-01,All Accounts,House
2018-04,29867,2018-04-01,All Accounts,House
2018-05,32666,2018-05-01,All Accounts,House
2018-06,37454,2018-06-01,All Accounts,House
2018-07,32198,2018-07-01,All Accounts,House
2018-08,29476,2018-08-01,All Accounts,House
2018-09,32691,2018-09-01,All Accounts,House
2018-10,37642,2018-10-01,All Accounts,House
2018-11,27870,2018-11-01,All Accounts,House
2018-12,19553,2018-12-01,All Accounts,House
2019-01,16916,2019-01-01,All Accounts,House
2019-02,29868,2019-02-01,All Accounts,House
2019-03,33553,2019-03-01,All Accounts,House
2019-04,25460,2019-04-01,All Accounts,House
2019-05,20182,2019-05-01,All Accounts,House
