year_month,total_tweets,date,twitter_data,office_type
2013-05,1079,2013-05-01,all,senate
2013-06,1168,2013-06-01,all,senate
2013-07,1199,2013-07-01,all,senate
2013-08,833,2013-08-01,all,senate
2013-09,999,2013-09-01,all,senate
2013-10,991,2013-10-01,all,senate
2013-11,1111,2013-11-01,all,senate
2013-12,664,2013-12-01,all,senate
2014-01,1299,2014-01-01,all,senate
2014-02,1580,2014-02-01,all,senate
2014-03,1614,2014-03-01,all,senate
2014-04,1408,2014-04-01,all,senate
2014-05,1596,2014-05-01,all,senate
2014-06,1335,2014-06-01,all,senate
2014-07,1307,2014-07-01,all,senate
2014-08,1067,2014-08-01,all,senate
2014-09,1309,2014-09-01,all,senate
2014-10,1156,2014-10-01,all,senate
2014-11,981,2014-11-01,all,senate
2014-12,780,2014-12-01,all,senate
2015-01,1733,2015-01-01,all,senate
2015-02,1805,2015-02-01,all,senate
2015-03,2235,2015-03-01,all,senate
2015-04,2078,2015-04-01,all,senate
2015-05,2131,2015-05-01,all,senate
2015-06,2560,2015-06-01,all,senate
2015-07,3045,2015-07-01,all,senate
2015-08,2262,2015-08-01,all,senate
2015-09,3106,2015-09-01,all,senate
2015-10,3643,2015-10-01,all,senate
2015-11,3095,2015-11-01,all,senate
2015-12,3432,2015-12-01,all,senate
2016-01,4622,2016-01-01,all,senate
2016-02,4648,2016-02-01,all,senate
2016-03,5024,2016-03-01,all,senate
2016-04,4647,2016-04-01,all,senate
2016-05,4554,2016-05-01,all,senate
2016-06,5263,2016-06-01,all,senate
2016-07,4875,2016-07-01,all,senate
2016-08,5165,2016-08-01,all,senate
2016-09,6057,2016-09-01,all,senate
2016-10,7809,2016-10-01,all,senate
2016-11,4443,2016-11-01,all,senate
2012-12,313,2012-12-01,all,senate
2013-01,439,2013-01-01,all,senate
2013-02,504,2013-02-01,all,senate
2013-03,596,2013-03-01,all,senate
2013-04,590,2013-04-01,all,senate
2013-05,647,2013-05-01,all,senate
2013-06,712,2013-06-01,all,senate
2013-07,710,2013-07-01,all,senate
2013-08,463,2013-08-01,all,senate
2013-09,592,2013-09-01,all,senate
2013-10,529,2013-10-01,all,senate
2013-11,785,2013-11-01,all,senate
2013-12,628,2013-12-01,all,senate
2014-01,994,2014-01-01,all,senate
2014-02,1021,2014-02-01,all,senate
2014-03,1452,2014-03-01,all,senate
2014-04,1356,2014-04-01,all,senate
2014-05,1395,2014-05-01,all,senate
2014-06,1283,2014-06-01,all,senate
2014-07,1432,2014-07-01,all,senate
2014-08,1081,2014-08-01,all,senate
2014-09,1514,2014-09-01,all,senate
2014-10,1707,2014-10-01,all,senate
2014-11,1115,2014-11-01,all,senate
2014-12,992,2014-12-01,all,senate
2015-01,1412,2015-01-01,all,senate
2015-02,1456,2015-02-01,all,senate
2015-03,1862,2015-03-01,all,senate
